index,result
1,1
2,1
3,2
4,3
5,5
6,7
7,11
8,15
9,22
10,30
11,42
12,56
13,77
14,101
15,135
16,176
17,231
18,297
19,385
20,490
21,627
22,792
23,1002
24,1255
25,1575
26,1958
27,2436
28,3010
29,3718
30,4565
29,3718
30,4565
31,5604
32,6842
33,8349
34,10143
35,12310
36,14883
37,17977
38,21637
39,26015
40,31185
41,37338
42,44583
43,53174
44,63261
45,75175
46,89134
47,105558
48,124754
49,147273
50,173525
51,204226
52,239943
53,281589
54,329931
55,386155
56,451276
57,526823
58,614154
59,715220
60,831820
61,966467
62,1121505
63,1300156
64,1505499
65,1741630
66,2012558
67,2323520
68,2679689
69,3087735
70,3554345
71,4087968
72,4697205
73,5392783
74,6185689
75,7089500
76,8118264
77,9289091
78,10619863
79,12132164
80,13848650
81,15796476
82,18004327
83,20506255
84,23338469
85,26543660
86,30167357
87,34262962
88,38887673
89,44108109
90,49995925
91,56634173
92,64112359
93,72533807
94,82010177
95,92669720
96,104651419
97,118114304
98,133230930
99,150198136
100,169229875
101,190569292
102,214481126
103,241265379
104,271248950
105,304801365
106,342325709
107,384276336
108,431149389
109,483502844
110,541946240
111,607163746
112,679903203
113,761002156
114,851376628
115,952050665
116,1064144451
117,1188908248
118,1327710076
119,1482074143
120,1653668665
121,1844349560
122,2056148051
123,2291320912
124,2552338241
125,2841940500
126,3163127352
127,3519222692
128,3913864295
129,4351078600
130,4835271870
131,5371315400
132,5964539504
133,6620830889
134,7346629512
135,8149040695
136,9035836076
137,10015581680
138,11097645016
139,12292341831
140,13610949895
141,15065878135
142,16670689208
143,18440293320
144,20390982757
145,22540654445
146,24908858009
147,27517052599
148,30388671978
149,33549419497
150,37027355200
151,40853235313
152,45060624582
153,49686288421
154,54770336324
155,60356673280
156,66493182097
157,73232243759
158,80630964769
159,88751778802
160,97662728555
161,107438159466
162,118159068427
163,129913904637
164,142798995930
165,156919475295
166,172389800255
167,189334822579
168,207890420102
169,228204732751
170,250438925115
171,274768617130
172,301384802048
173,330495499613
174,362326859895
175,397125074750
176,435157697830
177,476715857290
178,522115831195
179,571701605655
180,625846753120
181,684957390936
182,749474411781
183,819876908323
184,896684817527
185,980462880430
186,1071823774337
187,1171432692373
188,1280011042268
189,1398341745571
190,1527273599625
191,1667727404093
192,1820701100652
193,1987276856363
194,2168627105469
195,2366022741845
196,2580840212973
197,2814570987591
198,3068829878530
199,3345365983698
200,3646072432125
201,3972999029388
202,4328363658647
203,4714566886083
204,5134205287973
205,5590088317495
206,6085253859260
207,6622987708040
208,7206841706490
209,7840656226137
210,8528581302375
211,9275102575355
212,10085065885767
213,10963707205259
214,11916681236278
215,12950095925895
216,14070545699287
217,15285151248481
218,16601598107914
219,18028182516671
220,19573856161145
221,21248279009367
222,23061871173849
223,25025873760111
224,27152408925615
225,29454549941750
226,31946390696157
227,34643126322519
228,37561133582570
229,40718063627362
230,44132934884255
231,47826239745920
232,51820051838712
233,56138148670947
234,60806135438329
235,65851585970275
236,71304185514919
237,77195892663512
238,83561103925871
239,90436839668817
240,97862933703585
241,105882246722733
242,114540884553038
243,123888443077259
244,133978259344888
245,144867692496445
246,156618412527946
247,169296722391554
248,182973889854026
249,197726516681672
250,213636919820625
251,230793554364681
252,249291451168559
253,269232701252579
254,290726957916112
255,313891991306665
256,338854264248680
257,365749566870782
258,394723676655357
259,425933084409356
260,459545750448675
261,495741934760846
262,534715062908609
263,576672674947168
264,621837416509615
265,670448123060170
266,722760953690372
267,779050629562167
268,839611730366814
269,904760108316360
270,974834369944625
271,1050197489931117
272,1131238503938606
273,1218374349844333
274,1312051800816215
275,1412749565173450
276,1520980492851175
277,1637293969337171
278,1762278433057269
279,1896564103591584
280,2040825852575075
281,2195786311682516
282,2362219145337711
283,2540952590045698
284,2732873183547535
285,2938929793929555
286,3160137867148997
287,3397584011986773
288,3652430836071053
289,3925922161489422
290,4219388528587095
291,4534253126900886
292,4872038056472084
293,5234371069753672
294,5622992691950605
295,6039763882095515
296,6486674127079088
297,6965850144195831
298,7479565078510584
299,8030248384943040
300,8620496275465025
301,9253082936723602
302,9930972392403501
303,10657331232548839
304,11435542077822104
305,12269218019229465
306,13162217895057704
307,14118662665280005
308,15142952738857194
309,16239786535829663
310,17414180133147295
311,18671488299600364
312,20017426762576945
313,21458096037352891
314,23000006655487337
315,24650106150830490
316,26415807633566326
317,28305020340996003
318,30326181989842964
319,32488293351466654
320,34800954869440830
321,37274405776748077
322,39919565526999991
323,42748078035954696
324,45772358543578028
325,49005643635237875
326,52462044228828641
327,56156602112874289
328,60105349839666544
329,64325374609114550
330,68834885946073850
331,73653287861850339
332,78801255302666615
333,84300815636225119
334,90175434980549623
335,96450110192202760
336,103151466321735325
337,110307860425292772
338,117949491546113972
339,126108517833796355
